scenario,model,early_entropy,logprob_variance,mean_logprob,verbalized_final,confidence_gradient,n_steps,n_tool_calls,mcp_error_ratio,mcp_error_count,loop_ratio,n_unique_actions,reached_finish,obs_mean_len,obs_max_len,n_observations,usable_token,usable_verbalized,usable_structural,usable_mcp_error,usable_observation,y,verbalized_posthoc
engine_health_combined_002,openai_openai_gpt-oss-120b,0.12333956067729951,0.05919008342136016,-0.12333956067729951,,,2.0,1.0,,,0.5,2.0,1.0,471.0,471.0,1.0,True,False,True,False,True,0,
engine_health_combined_003,openai_openai_gpt-oss-120b,0.12409910595341764,0.06342977157074135,-0.12409910595341764,,,2.0,1.0,,,0.5,2.0,1.0,471.0,471.0,1.0,True,False,True,False,True,1,
engine_health_combined_004,openai_openai_gpt-oss-120b,0.10877066991606052,0.059201676956267504,-0.10877066991606052,,,2.0,1.0,,,0.5,2.0,1.0,471.0,471.0,1.0,True,False,True,False,True,0,
engine_health_combined_005,openai_openai_gpt-oss-120b,0.22641275297904195,0.10986342148075418,-0.21574138039848997,,,4.0,3.0,,,0.75,4.0,1.0,471.0,471.0,3.0,True,False,True,False,True,1,
engine_health_combined_006,openai_openai_gpt-oss-120b,0.2594332525014205,0.13290454514674852,-0.2594332525014205,,,2.0,0.0,,,0.0,1.0,1.0,471.0,471.0,1.0,True,False,True,False,True,1,
engine_health_combined_007,openai_openai_gpt-oss-120b,0.13054538111199013,0.06812981749251294,-0.13863754085343175,,,3.0,2.0,,,0.6666666666666666,3.0,1.0,471.0,471.0,2.0,True,False,True,False,True,1,
engine_health_combined_008,openai_openai_gpt-oss-120b,0.1266698566517826,0.05855187497480021,-0.11200397043655817,,,7.0,6.0,,,0.7142857142857143,7.0,1.0,404.5,471.0,6.0,True,False,True,False,True,1,
engine_health_combined_009,openai_openai_gpt-oss-120b,0.14758028443963753,0.07654302859962064,-0.14758028443963753,,,2.0,1.0,,,0.5,2.0,1.0,471.0,471.0,1.0,True,False,True,False,True,1,
engine_health_combined_010,openai_openai_gpt-oss-120b,0.14622239523497646,0.06811274479356044,-0.13669711625538597,,,3.0,2.0,,,0.6666666666666666,3.0,1.0,471.0,471.0,2.0,True,False,True,False,True,1,
engine_health_combined_011,openai_openai_gpt-oss-120b,0.11332109013457001,0.059796106969686486,-0.11426911553239118,,,8.0,8.0,,,1.0,8.0,0.0,471.0,471.0,8.0,True,False,True,False,True,0,
engine_health_combined_012,openai_openai_gpt-oss-120b,0.12656361259956814,0.06593308656540287,-0.13642607807426055,,,4.0,3.0,,,0.75,4.0,1.0,471.0,471.0,3.0,True,False,True,False,True,1,
engine_health_combined_013,openai_openai_gpt-oss-120b,0.16705496314406287,0.08193533338523652,-0.1604117225335542,,,3.0,2.0,,,0.6666666666666666,3.0,1.0,471.0,471.0,2.0,True,False,True,False,True,0,
engine_health_combined_014,openai_openai_gpt-oss-120b,0.14801517050759172,0.06913102315172708,-0.14006996757569226,,,3.0,2.0,,,0.6666666666666666,3.0,1.0,471.0,471.0,2.0,True,False,True,False,True,1,
engine_health_combined_015,openai_openai_gpt-oss-120b,0.0741953792711244,0.05047814520930131,-0.09986212850571083,,,8.0,7.0,,,0.875,8.0,1.0,471.0,471.0,7.0,True,False,True,False,True,0,
engine_health_combined_016,openai_openai_gpt-oss-120b,0.15193364001597232,0.07245036994032973,-0.15193364001597232,,,2.0,1.0,,,0.5,2.0,1.0,471.0,471.0,1.0,True,False,True,False,True,0,
engine_health_combined_017,openai_openai_gpt-oss-120b,0.1501220887639229,0.06330909769900624,-0.12809379120617342,,,4.0,3.0,,,0.75,4.0,1.0,471.0,471.0,3.0,True,False,True,False,True,1,
engine_health_combined_018,openai_openai_gpt-oss-120b,0.12737609362914568,0.0651956836084988,-0.1410527872647516,,,3.0,2.0,,,0.6666666666666666,3.0,1.0,471.0,471.0,2.0,True,False,True,False,True,1,
engine_health_combined_019,openai_openai_gpt-oss-120b,0.16004493500698114,0.10453061629038737,-0.17901067666896328,,,8.0,8.0,,,0.375,4.0,0.0,223.625,471.0,8.0,True,False,True,False,True,0,
engine_health_combined_020,openai_openai_gpt-oss-120b,0.220751056899265,0.11625869404681914,-0.220751056899265,,,1.0,0.0,,,0.0,1.0,1.0,,,0.0,True,False,True,False,False,1,
